,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lambda_reg,param_model__learning_rate,param_model__loss_function,param_model__max_epochs,param_model__optimizer,param_model__optimizer_kw_args,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
68,0.1460846265157064,0.0030801139664591803,0.0023598670959472656,0.00025434781871378273,128,1e-05,0.01,cross_entropy,50,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.6262626262626263,0.622895622895623,0.696969696969697,0.6487093153759821,0.034152915947705816,49
69,0.14794079462687174,0.006411581772896569,0.0028405984242757163,0.0006314571267168524,128,1e-05,0.01,cross_entropy,50,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
70,0.14945904413859049,0.002501606577343334,0.0028553009033203125,0.0006476271375279531,128,1e-05,0.01,cross_entropy,50,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.5959595959595959,0.6195286195286195,0.5791245791245792,0.5982042648709315,0.016571069652338243,89
71,0.14482943216959634,0.003239646849807018,0.0020066102345784507,0.00040407010911053194,128,1e-05,0.01,cross_entropy,50,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.5959595959595959,0.5925925925925926,0.5656565656565656,0.5847362514029181,0.013561218825583124,94
72,0.318983793258667,0.025613357798878706,0.0026312669118245444,0.0004480504614065556,128,1e-05,0.01,cross_entropy,100,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.7171717171717171,0.7744107744107744,0.7811447811447811,0.7575757575757575,0.028701934573612645,43
73,0.3153289159138997,0.020458211433209056,0.0025069713592529297,0.0006984579058413202,128,1e-05,0.01,cross_entropy,100,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
74,0.3067111174265544,0.018985370849396985,0.003001054128011068,0.0008171194372996977,128,1e-05,0.01,cross_entropy,100,gd,{'friction': 0.5},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.622895622895623,0.6127946127946128,0.5925925925925926,0.6094276094276094,0.012598173019440913,82
75,0.31128716468811035,0.012780104691827162,0.0071718692779541016,0.006623229003105934,128,1e-05,0.01,cross_entropy,100,gd,{'friction': 0},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.5959595959595959,0.6195286195286195,0.5757575757575758,0.5970819304152637,0.017887067845689334,91
76,0.6084163983662924,0.03424964730717087,0.004174629847208659,0.0030732360237736727,128,1e-05,0.01,cross_entropy,200,gd,{'friction': 0.9},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.7575757575757576,0.8047138047138047,0.8148148148148148,0.7923681257014591,0.02494512993366202,38
77,0.6231160163879395,0.026233418011660556,0.002334753672281901,0.0004714266399769444,128,1e-05,0.01,cross_entropy,200,gd,{'friction': 0.99},42,"{'model__batch_size': 128, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__loss_function': 'cross_entropy', 'model__max_epochs': 200, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.6161616161616161,0.6161616161616161,0.6161616161616161,0.6161616161616161,0.0,56
