,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__batch_size,param_model__lambda_reg,param_model__learning_rate,param_model__max_epochs,param_model__optimizer,param_model__optimizer_kw_args,param_model__random_state,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
18,2.747253894805908,0.1603774863997902,0.008010149002075195,0.00040646030291572195,32,1e-05,1e-05,50,gd,{'friction': 0.5},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.19532554257095158,0.18363939899833054,0.1986644407345576,0.19254312743461324,0.006441756762821504,105
19,2.6066478888193765,0.015925659371159653,0.007695118586222331,0.0010374584476655984,32,1e-05,1e-05,50,gd,{'friction': 0},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.18196994991652754,0.18196994991652754,0.19198664440734559,0.18530884808013356,0.004721915066354248,112
20,5.512037515640259,0.5703605064838444,0.008681853612263998,0.0006269202924264168,32,1e-05,1e-05,100,gd,{'friction': 0.9},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.34891485809682804,0.3555926544240401,0.3589315525876461,0.3544796883695048,0.0041643376591808,85
21,5.9396653175354,0.44862657675333584,0.00851909319559733,0.0008158541721559202,32,1e-05,1e-05,100,gd,{'friction': 0.99},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.8447412353923205,0.8080133555926544,0.8380634390651085,0.8302726766833611,0.015974067996001463,58
22,5.410419782002767,0.2690806704800033,0.008850653966267904,0.0012480665908647956,32,1e-05,1e-05,100,gd,{'friction': 0.5},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.21035058430717862,0.21368948247078465,0.2353923205342237,0.219810795770729,0.011101801526577634,99
23,5.338801622390747,0.24658695650170714,0.007516702016194661,2.9799673174623925e-06,32,1e-05,1e-05,100,gd,{'friction': 0},42,"{'model__batch_size': 32, 'model__lambda_reg': 1e-05, 'model__learning_rate': 1e-05, 'model__max_epochs': 100, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.19532554257095158,0.18363939899833054,0.1986644407345576,0.19254312743461324,0.006441756762821504,105
24,0.48994922637939453,0.02081827022924931,0.008011261622111002,0.0007147562702581564,64,1e-05,0.01,10,gd,{'friction': 0.9},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.8914858096828047,0.9098497495826378,0.8914858096828047,0.897607122982749,0.008656844288316125,44
25,0.49547243118286133,0.02864134966457678,0.008518854777018229,2.9286584492823728e-06,64,1e-05,0.01,10,gd,{'friction': 0.99},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.99}, 'model__random_state': 42}",0.9298831385642737,0.9365609348914858,0.8964941569282137,0.9209794101279911,0.017527006953838214,28
26,0.4967833360036214,0.008337525583072209,0.007581631342569987,4.657584221513967e-05,64,1e-05,0.01,10,gd,{'friction': 0.5},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.5}, 'model__random_state': 42}",0.8430717863105175,0.8096828046744574,0.8363939899833055,0.8297161936560936,0.01442568881114715,59
27,0.5053184827168783,0.04675022571698483,0.007699886957804362,0.00021940385450627115,64,1e-05,0.01,10,gd,{'friction': 0},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 10, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0}, 'model__random_state': 42}",0.7829716193656093,0.7228714524207012,0.7362270450751253,0.7473567056204785,0.02576702705128596,61
28,2.5234758853912354,0.13854578192770695,0.008200883865356445,0.00045165117686867494,64,1e-05,0.01,50,gd,{'friction': 0.9},42,"{'model__batch_size': 64, 'model__lambda_reg': 1e-05, 'model__learning_rate': 0.01, 'model__max_epochs': 50, 'model__optimizer': 'gd', 'model__optimizer_kw_args': {'friction': 0.9}, 'model__random_state': 42}",0.9115191986644408,0.9298831385642737,0.9165275459098498,0.9193099610461881,0.007750911673446891,29
